You Loose! Points,You Win! Points
7,
17,
9,
8,
10,
8,
8,
8,
8,
18,
8,
18,
8,
18,
9,
10,
8,
18,
8,
8,
8,
10,
8,
8,
7,
9,
9,
17,
9,
18,
7,
18,
8,
18,
19,
9,
19,
18,
9,
9,
9,
10,
9,
8,
8,
8,
7,
19,
8,
8,
9,
8,
8,
8,
17,
18,
9,
19,
19,
8,
9,
18,
19,
7,
9,
8,
18,
9,
18,
18,
18,
20,
8,
16,
9,
8,
8,
18,
8,
8,
19,
9,
18,
7,
6,
9,
26,
10,
9,
10,
16,
17,
8,
17,
16,
18,
7,
10,
10,
8,
10,
16,
8,
6,
9,
10,
7,
19,
18,
8,
17,
8,
8,
22,
9,
24,
8,
7,
7,
25,
7,
8,
8,
6,
17,
,49
32,
18,
26,
,51
6,
9,
10,
9,
35,
32,
23,
10,
25,
18,
9,
5,
25,
9,
17,
9,
10,
8,
7,
,53
