You Loose! Points,You Win! Points
35,
9,
24,
8,
10,
8,
9,
7,
9,
9,
6,
7,
17,
9,
9,
9,
9,
8,
10,
9,
8,
9,
8,
9,
7,
9,
9,
10,
8,
8,
8,
9,
8,
9,
7,
7,
7,
7,
5,
7,
9,
,54
9,
9,
10,
9,
9,
5,
9,
9,
9,
8,
28,
8,
7,
6,
26,
9,
9,
29,
6,
10,
9,
7,
33,
33,
7,
9,
9,
9,
9,
9,
29,
9,
9,
8,
9,
6,
32,
8,
7,
9,
8,
7,
32,
36,
32,
30,
7,
8,
8,
9,
,49
6,
32,
8,
33,
7,
8,
9,
6,
30,
8,
7,
,45
9,
7,
8,
8,
8,
9,
8,
27,
,44
9,
8,
8,
9,
5,
9,
9,
9,
4,
10,
9,
18,
26,
9,
5,
8,
6,
17,
6,
9,
9,
28,
7,
6,
6,
7,
7,
9,
18,
9,
7,
8,
8,
9,
36,
9,
