You Loose! Points,You Win! Points
37,
9,
19,
20,
9,
20,
19,
17,
20,
20,
5,
18,
20,
5,
16,
8,
20,
30,
20,
20,
17,
5,
30,
16,
8,
9,
20,
19,
9,
20,
20,
40,
27,
20,
8,
20,
5,
20,
20,
16,
20,
30,
19,
20,
19,
20,
20,
17,
9,
20,
17,
19,
20,
17,
7,
30,
30,
30,
17,
9,
17,
18,
19,
20,
20,
18,
30,
19,
17,
20,
8,
20,
9,
28,
9,
19,
30,
20,
20,
9,
20,
19,
47,
30,
19,
31,
19,
19,
23,
,61
9,
16,
19,
18,
20,
19,
43,
,56
20,
6,
10,
,59
37,
10,
43,
18,
47,
14,
21,
5,
18,
5,
4,
4,
5,
38,
25,
32,
7,
30,
7,
27,
8,
,40
5,
6,
6,
5,
4,
5,
5,
6,
5,
17,
9,
6,
8,
34,
8,
42,
20,
17,
35,
,57
34,
7,
8,
8,
,42
7,
